Developer,State,Parking Lot,Ad List,Bus Stop,Firm Number,Park,Property Size,Nearby Mall,Tenure Type,Bedroom,REN Number,Facilities,Completion Year,price,Nearby School,Property Type
Asia Green Group,Penang,2,101518068,Seremban Bus terminal,11924,Selangor State Park,2729,Berjaya Times Square,Freehold,5,REN 66961,"Swimming Pool, Squash Court, Tennis Court, Lift, Parking, Gymnasium, Playground, Jogging Track, Barbeque area",1990,1050000,MRSM Tun Ghafar Baba,Condominium
Asia Green Group,Penang,1,102197544,KL Central,11584,Taman Negara,1219,One Utama,Freehold,3,REN 22963,"Minimart, Tennis Court, Lift, Playground, Swimming Pool, Jogging Track, Gymnasium, Barbeque area, Sauna, Parking, Squash Court, Club house",2017,815000,SMK Bukit Jambul,Condominium
Asia Green Group,Penang,2,103315487,Pudu Sentral,11584,Taman Negara,1598,Berjaya Times Square,Freehold,3,REN 22963,"Swimming Pool, Club house, Gymnasium, Sauna, Squash Court, Multipurpose hall, Jogging Track, Tennis Court, Lift, Parking, Playground, Security, Barbeque area, Minimart",1998,700000,SM Sains T. Munawir,Condominium
Mahabuilders Berhad,Penang,1,103283609,Terminal Sentral Kuantan Bus terminal,11584,Taman Negara,750,One Utama,Leasehold,3,REN 22963,"Sauna, Club house",2009,235000,SM imtiaz Kemaman,Apartment
Farlim Group (M) Berhad,Penang,1,103113406,Pudu Sentral,11584,Gunung Ledang National Park,890,One Utama,Leasehold,3,REN 22963,"Swimming Pool, Jogging Track, Minimart",2005,390000,SM Sains T. Munawir,Apartment
SHL Consolidated Berhad,Selangor,2,96822478,Seremban Bus terminal,31788,Selangor State Park,1905,Berjaya Times Square,Freehold,8,REN 28634,"Tennis Court, Swimming Pool, Security, Minimart, Lift, Club house, Gymnasium",1994,750000,SM imtiaz Kemaman,Condominium
SHL Consolidated Bhd,Selangor,2,102301402,Terminal Sentral Kuantan Bus terminal,31788,Selangor State Park,1488,The Exchange TRX,Freehold,4,REN 28634,"Tennis Court, Jogging Track, Minimart, Swimming Pool, Gymnasium, Sauna, Parking, Barbeque area, Club house, Lift",1994,585000,SM imtiaz Kemaman,Condominium
Malaysia Land Properties Sdn. Bhd.,Selangor,2,103782573,Pudu Sentral,77778,Gunung Ledang National Park,834,The Exchange TRX,Freehold,3,REN 66961,Parking,1992,160000,SM Sains T. Munawir,Apartment
Tasek Maju Realty Sdn Bhd,Kuala Lumpur,2,103678958,"Bus Stop Sri Pelangi Condominium
Bus Stop Jalan Genting Klang
Bus Stop Sri Pelangi Condominium (Opp)
Bus Stop KFC Genting Klang
Bus Stop BSN Genting Klang
Bus Stop Jalan Semarak Api
Bus Stop PV128 Setapak
Bus Stop BHP Genting Klang
Bus Stop Perumahan Taman Setapak
Bus Stop Taman Genting Setapak
Bus Stop Langkawi Apartment (Opp)
Bus Stop PV15 Platinum
Bus Stop 1 Setapak Food Court
Bus Stop Aeon Big Danau Kota
Bus Stop CIMB Genting Klang
Bus Stop 2 Setapak Food Court
Bus Stop Diamond Square
Bus Stop SMJK Chong Hwa
Bus Stop 2 Jalan Jerejak
Bus Stop Kg Puah
Bus Stop Rumah 148
Bus Stop Columbia Hospital
Bus Stop SMJK Chong Hwa (Opp)
Bus Stop Setapak Garden Commercial
Bus Stop Diamond Square (Opp)
Bus Stop Taman P. Ramlee
Bus Stop 1 Jalan Jerejak
Bus Stop 2 Tadika Ayer Panas
Bus Stop 1 Medan Makmur Setapak
Bus Stop 1 Tadika Ayer Panas
Bus Stop 2 Medan Makmur Setapak
Bus Stop Courts Megastore Setapak (Opp)
Bus Stop Abi Waqqas Mosque (Opp)
Bus Stop Saad Mosque",11605,"Park 2 at Rumah Pangsa Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park 1 at Rumah Pangsa Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park 1 at Setapak Garden, Setapak, Kuala Lumpur, Malaysia
Park 2 at Setapak Garden, Setapak, Kuala Lumpur, Malaysia
Park at Taman Ayer Panas, Setapak, Kuala Lumpur, Malaysia
Park at Desa Gombak, Setapak, Kuala Lumpur, Malaysia
Taman Medan Idaman, Setapak, Kuala Lumpur, Malaysia
Park at Taman Tasik Danau Kota, Setapak, Kuala Lumpur, Malaysia",560,Berjaya Times Square,Leasehold,2,REN 06297,"Gymnasium, Swimming Pool, Playground",1991,149000,SMK Danau Kota,Flat
X-Scan Penang Sdn Bhd,Selangor,1,103547614,Seremban Bus terminal,31997,"Park at Kampung Baru Ampang, Ampang
Park at Taman Dagang, Pandan Indah",850,One Utama,Freehold,3,PEA 3474,"Tennis Court, Barbeque area, Minimart, Jogging Track, Parking, Squash Court, Playground",1998,280000,Sekolah Jenis Kebangsaan (C) Kg Baru Ampang,Apartment
Khoo Soon Lee Realty Sdn. Bhd.,Selangor,1,103547609,Seremban Bus terminal,31997,Selangor State Park,1000,Sunway Pyramid,Freehold,3,PEA 3474,"Minimart, Jogging Track, Gymnasium, Swimming Pool",2005,250000,SM imtiaz Kemaman,Apartment
Salak Park Development,Kuala Lumpur,1,103367062,"Bus Stop S*PARK Shopping Complex
Bus Stop Desa Petaling (Selatan)
Bus Stop Winner Heights
Bus Stop SK Desa Petaling
Bus Stop Sungai Besi Expressway",31997,"PPR Salak Selatan, Salak South, Kuala Lumpur, 57100, Malaysia",1056,Berjaya Times Square,Leasehold,3,PEA 3474,"Barbeque area, Playground, Lift, Minimart, Swimming Pool, Gymnasium, Sauna, Jogging Track, Tennis Court",2001,349999,MRSM Tun Ghafar Baba,Condominium
Hua Yang Berhad,Selangor,1,103033406,Pudu Sentral,31997,Penang National Park,880,Sunway Pyramid,Freehold,3,PEA 3474,"Gymnasium, Lift, Security, Jogging Track, Minimart, Tennis Court, Parking, Club house, Swimming Pool, Multipurpose hall, Sauna",2016,380000,Sekolah Seni Malaysia,Apartment
Platinum Victory Development Sdn Bhd,Kuala Lumpur,2,102618310,"Bus Stop 1 Setapak Food Court
Bus Stop 2 Setapak Food Court
Bus Stop CIMB Genting Klang
Bus Stop 1 Medan Makmur Setapak
Bus Stop 2 Medan Makmur Setapak
Bus Stop Columbia Hospital
Bus Stop BHP Genting Klang
Bus Stop PV128 Setapak
Bus Stop Setapak Industrial Area
Bus Stop Setapak Sentral (Opp)
Bus Stop PV15 Platinum
Bus Stop 1 Sri Utama Schools
Bus Stop Sri Utama Schools (Opp)
Bus Stop 2 Sri Utama Schools
Bus Stop Sri Pelangi Condominium
Bus Stop Setapak Central
Bus Stop Starparc Point
Bus Stop Setapak Commercial
Bus Stop Jalan Genting Klang
Bus Stop Aeon Big Danau Kota
Bus Stop Jalan Kilang
Bus Stop Sri Pelangi Condominium (Opp)
Bus Stop Langkawi Apartment (Opp)
Bus Stop PV12 Residence
Bus Stop PV12 Condominium (Opp)
Bus Stop BSN Genting Klang
Bus Stop KFC Genting Klang
Bus Stop Rampai Business Park",31997,"Park at Taman Tasik Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park 1 at Setapak Garden, Setapak, Kuala Lumpur, Malaysia",1040,Setapak Central,Leasehold,3,PEA 3474,Lift,2001,400000,SJK (C) Wangsa Maju,Service Residence
CB Land Sdn Bhd (Crest Builder Holdings Berhad),Selangor,1,102561611,Terminal Sentral Kuantan Bus terminal,31997,Gunung Ledang National Park,840,One Utama,Freehold,3,PEA 3474,"Security, Lift, Playground",2003,360000,SM imtiaz Kemaman,Service Residence
Avaland Berhad,Selangor,2,102747155,Pudu Sentral,11714,Selangor State Park,1210,The Exchange TRX,Leasehold,3,REN 11278,"Sauna, Multipurpose hall",2006,398000,SMK Bukit Jambul,Condominium
Meridian Maxim Sdn Bhd,Kuala Lumpur,2,103556164,"Bus Stop Duta–Ulu Klang Expressway
Bus Stop SMK Batu Muda
Bus Stop SMK Batu Muda (Opp)
Bus Stop 1 Kg Chubadak Hulu (Utara)
Bus Stop Kg Chubadak
Bus Stop 2 Kg Chubadak Hulu (Utara)
Bus Stop Kg Chubadak Hulu
Bus Stop Kg Chubadak Hulu (Selatan)
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop 1 Kg Padang Balang
Bus Stop 2 Kg Padang Balang",31451,"Park 2 at Kuala Lumpur, Malaysia",1009,The Exchange TRX,Leasehold,3,REN 66961,"Squash Court, Swimming Pool, Lift, Sauna, Tennis Court",2011,379000,Permata Kurnia,Service Residence
Maxim Holdings,Penang,1,100074489,Pudu Sentral,31706,Gunung Ledang National Park,700,One Utama,Freehold,3,REN 66961,"Squash Court, Barbeque area, Swimming Pool, Multipurpose hall, Parking, Club house, Lift, Sauna",2013,350000,SMK Bukit Jambul,Apartment
Petaling Garden Sdn Bhd (I & P Group),Penang,2,96073653,Terminal Sentral Kuantan Bus terminal,31706,Taman Negara,1155,The Exchange TRX,Leasehold,3,REN 66961,"Swimming Pool, Jogging Track, Tennis Court, Playground, Multipurpose hall, Sauna, Squash Court, Minimart",2019,680000,SM imtiaz Kemaman,Condominium
IJM LAND BERHAD,Penang,2,103541158,Terminal Sentral Kuantan Bus terminal,31706,Gunung Ledang National Park,517,Berjaya Times Square,Freehold,1,REN 66961,"Squash Court, Lift, Gymnasium, Playground, Barbeque area",2005,730000,SM Sains T. Munawir,Condominium
Reka Indah Development Sdn Bhd,Penang,2,102470974,Seremban Bus terminal,31706,Selangor State Park,939,The Exchange TRX,Freehold,3,REN 66961,"Gymnasium, Minimart, Barbeque area, Club house, Tennis Court, Multipurpose hall, Jogging Track",1990,498000,SM imtiaz Kemaman,Condominium
Asia Green Group,Penang,2,102384461,KL Central,31706,Taman Negara,850,The Exchange TRX,Freehold,3,REN 66961,"Security, Swimming Pool, Lift, Jogging Track, Minimart, Multipurpose hall",2011,380000,MRSM Tun Ghafar Baba,Condominium
Perbadanan Kemajuan Negeri Perak (PKNP),Penang,2,100770957,KL Central,11924,Taman Negara,700,Sunway Pyramid,Freehold,2,REN 66961,"Lift, Security, Multipurpose hall, Playground, Swimming Pool, Parking, Squash Court",2024,300000,MRSM Tun Ghafar Baba,Apartment
Mudajaya Group,Penang,2,98838663,Terminal Sentral Kuantan Bus terminal,11924,Taman Negara,700,Sunway Pyramid,Freehold,3,REN 66961,"Jogging Track, Minimart, Playground, Multipurpose hall, Lift, Gymnasium, Parking, Club house",2024,370000,SM Sains T. Munawir,Apartment
Zubicon Sdn. Bhd.,Penang,2,103259332,Pudu Sentral,11924,Selangor State Park,1000,The Exchange TRX,Freehold,3,REN 66961,"Minimart, Security, Swimming Pool, Playground, Squash Court, Club house, Tennis Court",2012,520000,SM imtiaz Kemaman,Apartment
Masteron Group,Penang,2,102470822,Terminal Sentral Kuantan Bus terminal,11924,Selangor State Park,700,The Exchange TRX,Freehold,3,REN 66961,"Squash Court, Multipurpose hall, Security, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Jogging Track, Club house, Swimming Pool, Tennis Court",1994,313000,SMK Bukit Jambul,Apartment
Tambun Indah Land Berhad,Penang,2,102354043,Seremban Bus terminal,11924,Penang National Park,1345,Sunway Pyramid,Freehold,3,REN 66961,"Barbeque area, Playground, Minimart, Multipurpose hall, Jogging Track, Swimming Pool, Security, Sauna, Squash Court, Club house",2008,820000,SMK Bukit Jambul,Condominium
Nova Mulia Development Sdn Bhd,Penang,1,101042014,Terminal Sentral Kuantan Bus terminal,11924,Gunung Ledang National Park,1254,Berjaya Times Square,Freehold,3,REN 66961,"Lift, Parking, Tennis Court, Swimming Pool, Sauna, Playground, Club house",2011,760000,MRSM Tun Ghafar Baba,Condominium
IOI Properties Group,Selangor,2,103782353,KL Central,11307,Taman Negara,1410,One Utama,Freehold,4,REN 07963,Jogging Track,2017,498000,Sekolah Seni Malaysia,Condominium
PLB Land Sdn Bhd,Penang,1,103659446,Terminal Sentral Kuantan Bus terminal,10598,Penang National Park,1487,Sunway Pyramid,Freehold,4,REN 22851,Playground,1990,880000,SM imtiaz Kemaman,Condominium
Akisama Group of companies,Kuala Lumpur,1,103388813,"Bus Stop KL 1284 Wisma Buddist
Bus Stop KL 1179 Saville Residence
Bus Stop KL 1180 Wisma Buddist
Bus Stop KL 1283 Batu 3 1/2 Klang Lama
Bus Stop KL 1285 Saville Residence
Bus Stop KL 1181 Batu 3 1/2 KLang Lama
Bus Stop KL 1282 3Rd Mile Square
Bus Stop KL 1281 Taman Shanghai (Utara)
Bus Stop KL 1183 Taman Shanghai (Utara)
Bus Stop KTM Angkasapuri
Bus Stop 1 Flat Sri Labuan
Bus Stop KL 1188 Wisma Tm Taman Desa
Bus Stop Jalan Desa Utama
Bus Stop Jalan 2/112A
Bus Stop KL 1190 Taman Bukit Desa (Selatan)
Bus Stop KL 1280 Taman Shanghai (Selatan)
Bus Stop KL 1187 Papillion Desahill Condominium
Bus Stop Mid Valley Megamall South Court
Bus Stop KL 1184 Taman Shanghai (Selatan)",11584,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",950,Sunway Pyramid,Freehold,3,REN 60567,"Swimming Pool, Minimart, Lift, Parking, Gymnasium, Barbeque area, Club house, Jogging Track, Squash Court, Sauna, Playground",2019,380000,SM Sains T. Munawir,Service Residence
Talam Transform Berhad,Kuala Lumpur,1,103388815,Pudu Sentral,11584,Taman Negara,818,Sunway Pyramid,Leasehold,3,REN 60567,"Jogging Track, Security, Swimming Pool, Barbeque area, Playground, Lift, Gymnasium, Club house, Parking, Tennis Court, Minimart, Multipurpose hall, Sauna",2001,240000,MRSM Tun Ghafar Baba,Condominium
Syarikat Perumahan Negara Berhad,Selangor,2,103462313,"Bus Stop at Jalan AU 3/1 2
Bus Stop at SK Hulu Klang
Bus Stop at Kompleks Dawama
Bus Stop at Middle Ring Road 2 1
Bus Stop at Jalan AU 3/1 3",11584,Penang National Park,850,One Utama,Freehold,3,REN 60567,"Swimming Pool, Gymnasium, Playground, Barbeque area, Minimart, Parking, Lift, Multipurpose hall, Squash Court, Jogging Track, Sauna, Security, Tennis Court",2000,280000,Sekolah Kebangsaan Hulu Kelang,Condominium
Avaland Berhad,Selangor,1,102940640,KL Central,11584,Gunung Ledang National Park,1210,Berjaya Times Square,Leasehold,3,REN 60567,"Multipurpose hall, Playground, Club house, Tennis Court, Lift, Sauna, Barbeque area, Swimming Pool, Squash Court, Parking, Minimart",2015,400000,SMK Bukit Jambul,Condominium
VILLAMAS GROUP OF COMPANIES,Selangor,1,103568969,Seremban Bus terminal,11321,Selangor State Park,1106,One Utama,Freehold,4,PEA 2631,"Tennis Court, Minimart, Jogging Track, Gymnasium, Swimming Pool, Club house, Squash Court, Multipurpose hall, Barbeque area",2004,360000,Sekolah Seni Malaysia,Condominium
YTL Land,Kuala Lumpur,1,103782316,KL Central,11959,Taman Negara,1186,Sunway Pyramid,Freehold,3,REN 31748,"Multipurpose hall, Squash Court, Security, Club house, Gymnasium, Sauna, Barbeque area, Swimming Pool, Minimart, Playground, Lift, Tennis Court, Jogging Track",2008,720000,MRSM Tun Ghafar Baba,Condominium
SP Setia,Kuala Lumpur,1,103782470,"Bus Stop Jalan Raja Muda Abdul Aziz
Bus Stop Jalan Tun Razak
Bus Stop 220
Bus Stop Wisma Rah
Bus Stop Masjid Kampung Baru
Bus Stop Hop-on Hop-Off Stop 21",30368,"Park at Kampong Bharu, Kuala Lumpur, Malaysia",1162,The Exchange TRX,Freehold,2,REN 18496,Minimart,2018,1200000,SK Jalan Raja Muda,Condominium
Amanahraya Development Sdn. Bhd.,Kuala Lumpur,1,103428589,"Bus Stop 4 Jalan Tun Sambanthan
Bus Stop 2 Jalan Tun Sambanthan
Bus Stop Muzium Negara (Timur)
Bus Stop Arkib Negara Malaysia
Bus Stop KTM Kuala Lumpur
Bus Stop Muzium Negara
Bus Stop Jalan Sultan Sulaiman
Bus Stop 1 Jalan Tun Sambanthan
Bus Stop Sentral Exhibition Mall
Bus Stop Nice & Plusliner Terminal KTM Old Railway Station
Bus Stop Public Bank
Bus Stop Brickfields Asia College B
Bus Stop Brickfields Asia College A
Bus Stop National Museum 17
Bus Stop National Mosque 21
Bus Stop Kuen Cheng High School
Bus Stop Platform E3
Bus Stop NU Sentral
Bus Stop Platform E2
Bus Stop Platform E1
Bus Stop KL 2214 Pasar Seni - Platform C
Bus Stop Muzium Negara (Barat)
Bus Stop KL Sentral 16
Bus Stop 3 Jalan Tun Sambanthan
Bus Stop Masjid Negara
Bus Stop HAB Pasar Seni - Platform A3-A5
Bus Stop Hab Pasar Seni - G
Bus Stop Palm Court Apartment
Bus Stop Bird Park 20
Bus Stop Jalan Hang Kasturi
Bus Stop 2 Dayabumi
Bus Stop Central Market 13
Bus Stop Central Market (Selatan)",11925,"Park 1 at Brickfields, Kuala Lumpur, Malaysia
Urban Orchard Park, Brickfields, Kuala Lumpur, Malaysia",872,Nu Sentral,Freehold,2,REN 21198,"Jogging Track, Barbeque area, Tennis Court",2005,560000,Brickfields Asia College Sambanthan,Service Residence
Cheras Hong Soon Development Sdn. Bhd.,Selangor,2,103429099,Seremban Bus terminal,11925,Penang National Park,1023,One Utama,Freehold,3,REN 21198,"Squash Court, Barbeque area, Security, Swimming Pool, Sauna",2006,350000,SM Sains T. Munawir,Condominium
Mutiara Rini Sdn Bhd,Johor,2,103782439,Seremban Bus terminal,10088,Selangor State Park,650,The Exchange TRX,Leasehold,3,REN 66961,Sauna,2012,125000,SM Sains T. Munawir,Flat
Tasek Maju Realty Sdn Bhd,Selangor,2,103782434,Seremban Bus terminal,77778,"Park at Residential Park, SS5C
Park at SS 4D/5 Park, SS4D
Park at SS5 Playground & Basketball Court, SS5C
Park at SS4C/8 Park, SS 4
Park at Kelana Jaya Youth Park, SS7
Park at Sterling Park, Sterling@PJ Condominium",867,Giant Mall Kelana Jaya,Freehold,2,REN 66961,"Parking, Squash Court, Playground, Jogging Track",2008,370000,Sekolah Menengah Kebangsaan Kelana Jaya,Condominium
YTL Corporation,Kuala Lumpur,1,102785812,Bus Stop T582 T583 T584,21064,Gunung Ledang National Park,1074,Sunway Pyramid,Leasehold,3,REN 06191,"Gymnasium, Club house, Tennis Court, Minimart, Lift, Squash Court, Multipurpose hall, Barbeque area, Sauna, Jogging Track, Security",2012,485000,SMK Bukit Jambul,Condominium
Setia Promenade Sdn Bhd (SP Setia),Johor,1,103782430,Seremban Bus terminal,77778,Gunung Ledang National Park,871,Sunway Pyramid,Freehold,2,REN 66961,Squash Court,1992,422888,MRSM Tun Ghafar Baba,Service Residence
Hongkong Land,Johor,1,102171455,Terminal Sentral Kuantan Bus terminal,11526,Gunung Ledang National Park,710,Berjaya Times Square,Leasehold,3,REN 12345,"Squash Court, Tennis Court",2023,190000,SM Sains T. Munawir,Flat
Asia Green Group,Penang,1,101518074,Pudu Sentral,11924,Selangor State Park,1598,Berjaya Times Square,Freehold,3,REN 66961,"Barbeque area, Parking, Gymnasium",2023,630000,SMK Bukit Jambul,Condominium
Asia Green Group,Penang,1,101518072,Terminal Sentral Kuantan Bus terminal,11924,Gunung Ledang National Park,1598,Berjaya Times Square,Freehold,3,REN 66961,"Security, Multipurpose hall, Parking, Club house, Tennis Court, Squash Court, Lift, Swimming Pool, Gymnasium, Minimart, Barbeque area",1990,650000,Sekolah Seni Malaysia,Condominium
Asia Green Group,Penang,2,101518066,Terminal Sentral Kuantan Bus terminal,11924,Gunung Ledang National Park,776,Sunway Pyramid,Freehold,2,REN 66961,"Parking, Gymnasium, Barbeque area, Security, Minimart, Jogging Track, Playground",1999,440000,SM imtiaz Kemaman,Condominium
Mitrajaya Holdings Berhad,Selangor,2,101781735,Pudu Sentral,10134,"Park at Taman Permainan Prima 2, Subang Jaya
Park at Kampung Sri Aman Bistari, Subang Jaya
Park at Taman Permainan Prima 1, Kampung Sri Langkas Tambahan
Park at Lake View Homes, Bandar Puchong Utama",955,One Utama,Freehold,3,REN 51513,"Lift, Jogging Track, Club house, Multipurpose hall, Sauna",1999,450000,Sekolah Menengah Kebangsaan Puchong Permai,Apartment
Majlis Perbandaran Kajang,Selangor,2,103782285,Terminal Sentral Kuantan Bus terminal,11605,"Park at BBR Sales Gallery Park, Bandar Bukit Raja
Park 3 at Bandar Bukit Raja, Klang Municipal Council
Park 1 at Bandar Bukit Raja, Klang Municipal Council
Park 4 at Bandar Bukit Raja, Klang Municipal Council",650,One Utama,Freehold,3,REN 51795,"Gymnasium, Multipurpose hall, Lift, Security, Parking, Jogging Track, Swimming Pool, Playground, Club house, Sauna, Tennis Court, Squash Court, Barbeque area",2013,135000,Sekolah Jenis Kebangsaan(T) Ladang Bukit Rajah,Flat
Maxim Holdings,Penang,2,101710750,KL Central,11584,Gunung Ledang National Park,1041,Berjaya Times Square,Freehold,3,REN 22963,"Club house, Minimart",1997,550000,SM Sains T. Munawir,Condominium
Trinity Group,Penang,2,98693277,Pudu Sentral,11584,Taman Negara,1150,Sunway Pyramid,Freehold,3,REN 22963,"Club house, Squash Court, Swimming Pool, Jogging Track, Barbeque area",1999,600000,MRSM Tun Ghafar Baba,Condominium
BSG Property,Penang,2,103601469,Seremban Bus terminal,11584,Selangor State Park,1458,The Exchange TRX,Freehold,3,REN 22963,"Security, Squash Court",2006,1400000,SM Sains T. Munawir,Condominium
Ideal Property Group,Penang,1,103556720,Terminal Sentral Kuantan Bus terminal,11584,Selangor State Park,1000,Berjaya Times Square,Freehold,3,REN 22963,"Security, Playground, Swimming Pool, Multipurpose hall, Tennis Court, Club house, Squash Court, Jogging Track, Sauna, Minimart, Gymnasium, Parking, Lift, Barbeque area",1990,505000,MRSM Tun Ghafar Baba,Condominium
Harta Intan Construction Sdn. Bhd.,Penang,1,102515464,Pudu Sentral,11584,Selangor State Park,1349,The Exchange TRX,Freehold,4,REN 22963,"Security, Parking",2023,638000,SMK Bukit Jambul,Condominium
Hongkong Land,Penang,2,102352833,Terminal Sentral Kuantan Bus terminal,11584,Gunung Ledang National Park,850,One Utama,Freehold,3,REN 22963,"Security, Club house, Minimart",2020,380000,SM Sains T. Munawir,Condominium
Tasek Maju Realty Sdn Bhd,Selangor,2,103720396,Terminal Sentral Kuantan Bus terminal,31936,Penang National Park,700,One Utama,Leasehold,3,REN 21425,"Tennis Court, Squash Court, Sauna, Playground, Lift, Parking, Barbeque area, Multipurpose hall, Swimming Pool",2016,160000,SMK Bukit Jambul,Apartment
Cheras Hong Soon Development Sdn. Bhd.,Selangor,2,101412879,Seremban Bus terminal,31788,Penang National Park,1161,BMC Mall,Freehold,3,REN 28634,Playground,1990,480000,Sekolah Seni Malaysia,Condominium
SHL Consolidated Bhd,Selangor,1,103627786,Terminal Sentral Kuantan Bus terminal,31788,Gunung Ledang National Park,1453,Sunway Pyramid,Freehold,3,REN 28634,"Tennis Court, Jogging Track, Security, Lift, Gymnasium, Squash Court, Sauna, Multipurpose hall, Swimming Pool, Minimart, Club house, Playground, Parking, Barbeque area",2012,630000,SM Sains T. Munawir,Condominium
Malaysia Land Properties Sdn. Bhd.,Kuala Lumpur,2,103397842,Pudu Sentral,31936,Penang National Park,955,One Utama,Leasehold,3,REN 21425,"Club house, Squash Court",2003,265000,SMK Bukit Jambul,Apartment
Sentul Perdana Sdn. Bhd,Selangor,1,103255092,Terminal Sentral Kuantan Bus terminal,31936,"Park 1 at Taman Muda, Pandan Indah",958,Berjaya Times Square,Leasehold,3,REN 21425,Gymnasium,1990,210000,SM imtiaz Kemaman,Apartment
SHL Consolidated Berhad,Selangor,1,102452927,KL Central,31788,Penang National Park,1012,The Exchange TRX,Freehold,3,REN 28634,"Playground, Club house, Barbeque area, Squash Court, Jogging Track, Security, Parking, Minimart, Swimming Pool",2021,330000,Sekolah Seni Malaysia,Condominium
Ivory Properties Group Sdn Bhd,Penang,2,103782355,Seremban Bus terminal,31603,Penang National Park,654,Berjaya Times Square,Freehold,3,REN 51442,"Gymnasium, Lift, Playground, Sauna, Parking",2017,349000,SM Sains T. Munawir,Apartment
Ideal Property Group,Penang,1,100959617,KL Central,11924,Selangor State Park,1115,The Exchange TRX,Freehold,3,REN 66961,"Barbeque area, Gymnasium, Minimart, Squash Court, Security, Parking, Lift",2000,565000,SMK Bukit Jambul,Condominium
Ideal Property Group,Penang,1,103669925,Terminal Sentral Kuantan Bus terminal,11924,Taman Negara,1115,The Exchange TRX,Freehold,3,REN 66961,"Minimart, Squash Court, Gymnasium, Club house, Security, Playground, Swimming Pool",2017,600000,SM imtiaz Kemaman,Condominium
SP Setia Berhad,Selangor,2,103631936,Terminal Sentral Kuantan Bus terminal,11688,"Park 1 at Section U13 (Setia Alam), Shah Alam",818,Sunway Pyramid,Freehold,3,REN 44133,"Barbeque area, Playground, Club house",1996,290000,MRSM Tun Ghafar Baba,Apartment
Ideal Property Group,Penang,2,103383040,Seremban Bus terminal,11924,Selangor State Park,1100,Sunway Pyramid,Freehold,3,REN 66961,Squash Court,2014,700000,MRSM Tun Ghafar Baba,Condominium
Gandingan Jakel,Kuala Lumpur,1,102092737,"Bus Stop Setapak Sentral (Opp)
Bus Stop Starparc Point
Bus Stop Sri Utama Schools (Opp)
Bus Stop Setapak Central
Bus Stop 1 Sri Utama Schools
Bus Stop Columbia Hospital
Bus Stop Setapak Industrial Area
Bus Stop CIMB Genting Klang
Bus Stop 2 Sri Utama Schools
Bus Stop Setapak Commercial
Bus Stop 1 Setapak Food Court
Bus Stop 2 Medan Makmur Setapak
Bus Stop 2 Setapak Food Court
Bus Stop 1 Medan Makmur Setapak
Bus Stop PV15 Platinum
Bus Stop Jalan Kilang
Bus Stop BHP Genting Klang
Bus Stop PV128 Setapak
Bus Stop Aeon Big Danau Kota
Bus Stop PV12 Residence
Bus Stop PV12 Condominium (Opp)
Bus Stop Rampai Business Park
Bus Stop Langkawi Apartment (Opp)
Bus Stop Sri Rampai Park",11688,"Park at Taman Tasik Danau Kota, Setapak, Kuala Lumpur, Malaysia",800,Setapak Central,Leasehold,3,REN 44133,"Lift, Barbeque area, Playground, Jogging Track, Minimart, Gymnasium, Swimming Pool, Security, Squash Court, Club house, Sauna",1993,300000,SJK (C) Wangsa Maju,Apartment
GSD Land (M) Sdn Bhd,Penang,1,103382840,Terminal Sentral Kuantan Bus terminal,11924,Selangor State Park,1250,Berjaya Times Square,Freehold,3,REN 66961,"Lift, Club house, Barbeque area, Jogging Track, Gymnasium, Swimming Pool, Parking, Playground, Security",2018,665000,SM Sains T. Munawir,Condominium
GSD Land (M) Sdn Bhd,Penang,2,103382831,Terminal Sentral Kuantan Bus terminal,11924,Selangor State Park,1250,The Exchange TRX,Freehold,3,REN 66961,"Multipurpose hall, Gymnasium, Security, Tennis Court, Parking, Lift, Jogging Track, Minimart, Sauna, Squash Court",2001,600000,MRSM Tun Ghafar Baba,Condominium
